                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.53336,                  1.973,                 0.9522,                0.89766,                0.89582,                0.97347,                0.86356,                0.49993,                 1.7494,                0.87577,             0.00047223,             0.00047223,             0.00047223
                      2,                0.54138,                0.92297,                0.92899,                0.83451,                0.86044,                0.91615,                0.78621,                0.58279,                0.98798,                0.93299,             0.00092978,             0.00092978,             0.00092978
                      3,                0.55606,                0.61846,                 0.9365,                0.84384,                0.83679,                0.90574,                0.76995,                0.54909,                0.76298,                0.91461,              0.0013685,              0.0013685,              0.0013685
                      4,                0.55499,                0.49919,                0.93814,                0.98617,                0.98229,                0.99407,                  0.889,                0.48209,                0.36054,                0.88602,              0.0013441,              0.0013441,              0.0013441
                      5,                0.52245,                0.42082,                0.92604,                0.95448,                0.95471,                0.98776,                0.88546,                0.47976,                0.34567,                0.87303,              0.0013441,              0.0013441,              0.0013441
                      6,                0.51315,                0.38984,                0.92192,                0.96843,                 0.9556,                0.99172,                0.89431,                0.46227,                0.32366,                0.86843,              0.0013158,              0.0013158,              0.0013158
                      7,                0.50719,                0.36816,                0.91991,                0.97781,                0.98646,                 0.9942,                0.90137,                0.46111,                0.29907,                0.86882,              0.0012875,              0.0012875,              0.0012875
                      8,                0.49361,                0.35392,                0.91064,                0.99391,                0.98701,                0.99484,                0.91257,                0.43886,                0.25382,                0.85504,              0.0012592,              0.0012592,              0.0012592
                      9,                0.49366,                0.34721,                 0.9138,                0.96716,                0.96028,                0.98171,                0.89371,                 0.4533,                0.31934,                0.86044,              0.0012309,              0.0012309,              0.0012309
                     10,                0.48349,                0.32975,                0.90888,                0.93959,                 0.9213,                0.98368,                 0.9008,                0.44141,                0.36444,                0.85675,              0.0012026,              0.0012026,              0.0012026
                     11,                0.48722,                0.32561,                 0.9101,                0.99399,                0.98957,                0.99487,                0.92166,                 0.4259,                0.23253,                0.84542,              0.0011744,              0.0011744,              0.0011744
                     12,                0.47593,                0.32053,                0.90522,                0.98955,                0.99145,                0.99321,                0.91656,                0.43024,                0.24333,                0.85125,              0.0011461,              0.0011461,              0.0011461
                     13,                0.47228,                0.30862,                 0.9047,                0.99138,                0.99286,                0.99456,                0.92833,                 0.4254,                0.22446,                0.84643,              0.0011178,              0.0011178,              0.0011178
                     14,                0.47357,                0.30591,                0.90307,                0.99541,                0.99707,                0.99491,                 0.9299,                0.42029,                  0.212,                0.84438,              0.0010895,              0.0010895,              0.0010895
                     15,                0.46751,                0.30391,                0.90083,                 0.9911,                0.99099,                0.99472,                0.91691,                0.43085,                0.22705,                0.85225,              0.0010612,              0.0010612,              0.0010612
                     16,                  0.466,                0.29264,                0.90082,                0.99069,                0.99556,                0.99484,                0.92941,                0.43499,                0.22303,                0.84985,              0.0010329,              0.0010329,              0.0010329
                     17,                0.46112,                0.29336,                0.89876,                0.99209,                0.99785,                0.99484,                0.92644,                0.41469,                0.20491,                0.84235,              0.0010046,              0.0010046,              0.0010046
                     18,                0.45594,                0.28733,                0.90148,                0.99593,                0.99772,                0.99496,                0.93233,                0.41378,                0.19746,                0.84109,             0.00097629,             0.00097629,             0.00097629
                     19,                0.45849,                0.28438,                0.90047,                0.98641,                0.99511,                0.99485,                0.93036,                0.41168,                0.21174,                0.84028,               0.000948,               0.000948,               0.000948
                     20,                0.44609,                 0.2761,                0.89588,                0.99743,                0.99607,                  0.995,                0.92908,                0.42319,                0.20208,                0.84543,              0.0009197,              0.0009197,              0.0009197
                     21,                0.44851,                0.27319,                0.89642,                 0.9973,                0.99766,                  0.995,                0.92799,                0.41223,                0.19791,                 0.8396,             0.00089141,             0.00089141,             0.00089141
                     22,                0.44785,                0.27097,                0.89491,                0.99684,                0.99844,                0.99489,                0.93651,                0.40946,                0.19023,                0.84006,             0.00086312,             0.00086312,             0.00086312
                     23,                0.43855,                0.26634,                0.89112,                0.99621,                 0.9983,                0.99491,                0.93637,                0.40585,                0.19448,                0.83674,             0.00083482,             0.00083482,             0.00083482
                     24,                0.44475,                0.26525,                0.89257,                0.99641,                0.99777,                0.99493,                0.93764,                0.40135,                0.18455,                0.83518,             0.00080653,             0.00080653,             0.00080653
                     25,                0.44281,                0.25766,                0.89596,                0.99622,                0.99855,                  0.995,                0.93902,                0.39797,                0.18141,                0.83317,             0.00077823,             0.00077823,             0.00077823
                     26,                0.43706,                0.25671,                0.89089,                0.99655,                0.99741,                0.99493,                0.93603,                0.40195,                0.18697,                0.83548,             0.00074994,             0.00074994,             0.00074994
                     27,                0.43178,                0.25129,                0.88909,                0.98047,                0.97586,                0.99196,                0.93377,                0.39691,                0.21602,                 0.8328,             0.00072164,             0.00072164,             0.00072164
                     28,                0.43423,                0.25335,                0.89274,                0.99724,                0.99806,                0.99495,                0.94162,                0.39957,                0.19035,                0.83245,             0.00069335,             0.00069335,             0.00069335
                     29,                0.43402,                0.25407,                0.89032,                 0.9961,                0.99873,                0.99493,                0.93744,                0.39924,                 0.1839,                0.83387,             0.00066506,             0.00066506,             0.00066506
                     30,                0.43128,                0.24573,                 0.8883,                 0.9972,                0.99837,                0.99497,                0.93935,                0.39453,                0.17821,                0.83069,             0.00063676,             0.00063676,             0.00063676
                     31,                0.42626,                 0.2455,                0.88553,                0.99826,                0.99927,                0.99499,                0.94207,                0.39569,                0.17835,                0.83003,             0.00060847,             0.00060847,             0.00060847
                     32,                0.42312,                0.24317,                 0.8853,                0.99728,                0.99887,                  0.995,                 0.9419,                0.39452,                0.17345,                0.83105,             0.00058017,             0.00058017,             0.00058017
                     33,                 0.4132,                0.23358,                0.88221,                0.99516,                0.99961,                  0.995,                0.94578,                0.38977,                0.17098,                0.82835,             0.00055188,             0.00055188,             0.00055188
                     34,                0.42087,                0.23265,                0.88296,                0.99688,                0.99961,                0.99491,                 0.9441,                0.39163,                0.17145,                0.82766,             0.00052359,             0.00052359,             0.00052359
                     35,                0.41692,                0.23541,                0.88224,                0.99487,                0.99948,                0.99496,                0.94241,                  0.393,                0.17268,                0.82599,             0.00049529,             0.00049529,             0.00049529
                     36,                0.41729,                0.23234,                0.88283,                0.99667,                0.99948,                0.99496,                0.94257,                0.39231,                 0.1673,                 0.8277,               0.000467,               0.000467,               0.000467
                     37,                0.41814,                0.22821,                0.88359,                 0.9981,                0.99961,                0.99496,                0.94502,                0.38528,                0.16441,                0.82461,              0.0004387,              0.0004387,              0.0004387
                     38,                0.40792,                0.22518,                0.88156,                0.99776,                      1,                0.99489,                0.94767,                0.38186,                0.16273,                0.82149,             0.00041041,             0.00041041,             0.00041041
                     39,                0.40795,                0.22019,                0.88134,                0.99781,                0.99961,                0.99495,                0.94462,                0.38521,                0.16006,                0.82372,             0.00038211,             0.00038211,             0.00038211
                     40,                0.40631,                0.21694,                0.87755,                0.99752,                0.99922,                0.99495,                 0.9445,                0.38514,                0.16346,                0.82388,             0.00035382,             0.00035382,             0.00035382
                     41,                0.37796,                0.18386,                0.85505,                0.99833,                0.99922,                0.99496,                0.94645,                0.38637,                0.16322,                0.82394,             0.00032553,             0.00032553,             0.00032553
                     42,                0.37623,                0.17965,                0.85441,                  0.998,                      1,                0.99492,                 0.9482,                0.38574,                0.16151,                0.82526,             0.00029723,             0.00029723,             0.00029723
                     43,                0.37108,                 0.1749,                0.85528,                0.99844,                0.99959,                0.99491,                0.94981,                0.37968,                 0.1572,                0.82156,             0.00026894,             0.00026894,             0.00026894
                     44,                0.36646,                0.16993,                0.85294,                0.99811,                0.99973,                0.99494,                0.95153,                0.37762,                0.15582,                0.81943,             0.00024064,             0.00024064,             0.00024064
                     45,                0.36381,                0.16729,                 0.8487,                0.99824,                      1,                0.99496,                0.95076,                0.37832,                0.15489,                0.81988,             0.00021235,             0.00021235,             0.00021235
