                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.43516,                0.27147,                0.86819,                0.99747,                0.99894,                  0.995,                0.93475,                0.39523,                0.21345,                0.80834,              0.0033046,              0.0033046,              0.0033046
                      2,                0.48115,                  0.316,                0.87345,                0.97862,                0.97402,                0.99252,                 0.9257,                 0.4142,                0.25757,                0.82188,              0.0066366,              0.0066366,              0.0066366
                      3,                0.49884,                0.35329,                0.88536,                0.96039,                0.97183,                0.98884,                0.91535,                0.44914,                 0.3042,                0.83729,              0.0099673,              0.0099673,              0.0099673
                      4,                0.50819,                0.36771,                0.89376,                0.91476,                0.93182,                0.99025,                0.91006,                0.46017,                0.38148,                0.84232,              0.0099941,              0.0099941,              0.0099941
                      5,                0.50507,                0.35978,                0.89354,                0.84448,                0.92108,                 0.9555,                0.87314,                0.44379,                0.53563,                0.83211,              0.0099941,              0.0099941,              0.0099941
                      6,                0.49666,                0.34929,                0.89173,                0.99411,                 0.9903,                0.99477,                0.92636,                0.43524,                0.24753,                0.83508,              0.0099921,              0.0099921,              0.0099921
                      7,                 0.4896,                0.33938,                0.88662,                0.80404,                0.81067,                0.84943,                0.76761,                0.44891,                  1.001,                0.83782,              0.0099901,              0.0099901,              0.0099901
                      8,                 0.4813,                0.33154,                0.88859,                0.99217,                0.99478,                0.99426,                0.92896,                0.42956,                0.23532,                0.82804,              0.0099881,              0.0099881,              0.0099881
                      9,                0.48687,                0.32643,                0.88972,                0.74866,                0.75556,                0.89383,                0.82024,                0.45888,                 1.0774,                0.84001,              0.0099861,              0.0099861,              0.0099861
                     10,                0.48181,                0.31998,                0.88601,                0.99588,                0.99621,                0.99468,                0.92554,                0.42363,                0.23078,                0.82462,              0.0099842,              0.0099842,              0.0099842
                     11,                0.48517,                0.31993,                0.88779,                0.99177,                0.99763,                0.99479,                 0.9305,                0.42524,                0.23245,                0.82666,              0.0099822,              0.0099822,              0.0099822
                     12,                0.48207,                0.31967,                0.88406,                0.74516,                0.79455,                0.88806,                 0.8127,                0.44845,                0.94686,                0.83739,              0.0099802,              0.0099802,              0.0099802
                     13,                0.47758,                 0.3151,                0.88375,                0.99528,                0.99539,                0.99492,                0.93039,                0.41592,                0.22086,                0.82837,              0.0099782,              0.0099782,              0.0099782
